"id","name","slug","category","file","source_url","origin","bytes","sha256"
"GDT-0431","Extensão de Tríceps com Cabos Cruzados","extensao-de-triceps-com-cabos-cruzados","Tríceps","gifs/triceps/extensao-de-triceps-com-cabos-cruzados.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20com%20Cabos%20Cruzados.gif","catalog-api","4172485","e93defeb44449128c69e9a926927ad009dbf1dafadb70b7a1e20967448aaeccb"
"GDT-0426","Extensão de Tríceps com deitado com Barra","extensao-de-triceps-com-deitado-com-barra","Tríceps","gifs/triceps/extensao-de-triceps-com-deitado-com-barra.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20com%20deitado%20com%20Barra.gif","catalog-api","2168256","5b16e191214ed6d9d768b4a4f7f8352a685e5b8f7ee7677aae380361c34f5f56"
"GDT-0440","Extensão de tríceps com elástico na posição horizontal","extensao-de-triceps-com-elastico-na-posicao-horizontal","Funcional e HIT","gifs/funcional-e-hit/extensao-de-triceps-com-elastico-na-posicao-horizontal.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Extens%C3%A3o%20de%20tr%C3%ADceps%20com%20el%C3%A1stico%20na%20posi%C3%A7%C3%A3o%20horizontal.gif","catalog-api","2153397","a3906dbdfb875696fa750a5437b3a350d33125a523cc26476e696a28b1e82d66"
"GDT-0424","Extensão de Tríceps com Faixa Elástica","extensao-de-triceps-com-faixa-elastica","Funcional e HIT","gifs/funcional-e-hit/extensao-de-triceps-com-faixa-elastica.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Extens%C3%A3o%20de%20Tr%C3%ADceps%20com%20Faixa%20El%C3%A1stica.gif","catalog-api","2136915","462a68d133cda885fab803ea0bb5810499f932707733429024188882a10e40aa"
"GDT-0432","Extensão de Tríceps com Faixas Elásticas","extensao-de-triceps-com-faixas-elasticas","Funcional e HIT","gifs/funcional-e-hit/extensao-de-triceps-com-faixas-elasticas.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Extens%C3%A3o%20de%20Tr%C3%ADceps%20com%20Faixas%20El%C3%A1sticas.gif","catalog-api","2091320","38355ee2afae8582bca33887eccdf2ed088505e244feb478f12bc73cb45ab9dc"
"GDT-0439","Extensão de tríceps com haltere em pronação com um braço","extensao-de-triceps-com-haltere-em-pronacao-com-um-braco","Tríceps","gifs/triceps/extensao-de-triceps-com-haltere-em-pronacao-com-um-braco.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20com%20haltere%20em%20prona%C3%A7%C3%A3o%20com%20um%20bra%C3%A7o.gif","catalog-api","2619633","909f0a66a03d5a553a0f5a07cf4674f840e2982c94b9f1c13884db810514ad40"
"GDT-0444","Extensão de tríceps com haltere unilateral sentado","extensao-de-triceps-com-haltere-unilateral-sentado","Tríceps","gifs/triceps/extensao-de-triceps-com-haltere-unilateral-sentado.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20com%20haltere%20unilateral%20sentado.gif","catalog-api","2688908","8702fe22c57de5bfdc323e22582b0fc1ea086efd5db1fc6a5e47ae3888dec6e6"
"GDT-0446","Extensão de tríceps com pegada invertida","extensao-de-triceps-com-pegada-invertida","Tríceps","gifs/triceps/extensao-de-triceps-com-pegada-invertida.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20com%20pegada%20invertida.gif","catalog-api","1601540","2266e7557721924ab0ef73a523410a7d506d0df1996ef96023bb69c663f6d955"
"GDT-0447","Extensão de tríceps com um braço","extensao-de-triceps-com-um-braco","Tríceps","gifs/triceps/extensao-de-triceps-com-um-braco.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20com%20um%20bra%C3%A7o.gif","catalog-api","3389519","0fdecb545ecdf625ce6ba01b8df5c0ce9f9976274b6ce89384131d7260de0a54"
"GDT-0433","Extensão de Tríceps com Uma Mão no Pulley Alto Sobre a Cabeça","extensao-de-triceps-com-uma-mao-no-pulley-alto-sobre-a-cabeca","Tríceps","gifs/triceps/extensao-de-triceps-com-uma-mao-no-pulley-alto-sobre-a-cabeca.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20com%20Uma%20M%C3%A3o%20no%20Pulley%20Alto%20Sobre%20a%20Cabe%C3%A7a.gif","catalog-api","3647095","e2e1d76aedb2a8d4aa6c0aa9ef99dbdc6485b226f5a0fcf40b1e3d27f75c4ea3"
"GDT-0427","Extensão de Tríceps deitado com Barra W Pegada Fechada atrás da Cabeça","extensao-de-triceps-deitado-com-barra-w-pegada-fechada-atras-da-cabeca","Tríceps","gifs/triceps/extensao-de-triceps-deitado-com-barra-w-pegada-fechada-atras-da-cabeca.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20deitado%20com%20Barra%20W%20Pegada%20Fechada%20atr%C3%A1s%20da%20Cabe%C3%A7a.gif","catalog-api","3361577","5a5dbd57233c9f733679115c4cef6692503c2f75ab48c09029460fa710f6886e"
"GDT-0428","Extensão de Tríceps deitado com Corda","extensao-de-triceps-deitado-com-corda","Tríceps","gifs/triceps/extensao-de-triceps-deitado-com-corda.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20deitado%20com%20Corda.gif","catalog-api","1756639","9493cecc6c55cc19aeddab6f915a26be26fd70d685b1995bdfb64642d74f5c87"
"GDT-0419","Extensão de Tríceps Invertida com unilateral","extensao-de-triceps-invertida-com-unilateral","Tríceps","gifs/triceps/extensao-de-triceps-invertida-com-unilateral.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20Invertida%20com%20unilateral.gif","catalog-api","4019447","87552baf04c211a394fc45b0859d0cfee04ee053a1644bc5c35afcae95f9d5f8"
"GDT-0442","Extensão de tríceps lateral com cabo","extensao-de-triceps-lateral-com-cabo","Tríceps","gifs/triceps/extensao-de-triceps-lateral-com-cabo.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20lateral%20com%20cabo.gif","catalog-api","2210300","5e0a9ebfa6337c14b17d5f68bd4582b00c60f7f97cbfa07b328c60f587f5951c"
"GDT-0443","Extensão de tríceps na máquina","extensao-de-triceps-na-maquina","Tríceps","gifs/triceps/extensao-de-triceps-na-maquina.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20na%20m%C3%A1quina.gif","catalog-api","3463263","b6145844dde086d243dde9ccc30bdfd0143b1c579f28377ad4ee00c49af306dc"
"GDT-0445","Extensão de tríceps na máquina pegada neutra","extensao-de-triceps-na-maquina-pegada-neutra","Tríceps","gifs/triceps/extensao-de-triceps-na-maquina-pegada-neutra.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20na%20m%C3%A1quina%20pegada%20neutra.gif","catalog-api","4217676","63d3feedb09370314fb59a82c3d81b3e9c9927f8b0e62a1a3e065a72672b51f9"
"GDT-0449","Extensão de tríceps no cabo alto","extensao-de-triceps-no-cabo-alto","Tríceps","gifs/triceps/extensao-de-triceps-no-cabo-alto.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20no%20cabo%20alto.gif","catalog-api","2559585","da3f62660e8ea1d9422dd8b5830bf2a8df1f03b3ee5ab93b79e1ca5cfafb7949"
"GDT-0448","Extensão de tríceps no cabo deitado","extensao-de-triceps-no-cabo-deitado","Tríceps","gifs/triceps/extensao-de-triceps-no-cabo-deitado.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20tr%C3%ADceps%20no%20cabo%20deitado.gif","catalog-api","2698794","03c183900d35dbf4990f15e3f678e60e0f4db2e59815a331974d0e3417932da8"
"GDT-0420","Extensão de Tríceps Testa Declinado Fechado","extensao-de-triceps-testa-declinado-fechado","Tríceps","gifs/triceps/extensao-de-triceps-testa-declinado-fechado.gif","https://www.gifdotreino.com/Exercicios/Tr%C3%ADceps/Extens%C3%A3o%20de%20Tr%C3%ADceps%20Testa%20Declinado%20Fechado.gif","catalog-api","3227982","71fc18dd55b03c2d2a75e466b09d349d05a21db54226d2372fae0e37d7408485"
"GDT-0411","Extensão Lombar com Peso","extensao-lombar-com-peso","Eretor Lombar","gifs/eretor-lombar/extensao-lombar-com-peso.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Extens%C3%A3o%20Lombar%20com%20Peso.gif","catalog-api","3271032","bc88632ff6c0c750b3a0424438998e9380e70e6a771e9683fd08fccb5b1097de"
"GDT-0454","Extensão lombar sentada","extensao-lombar-sentada","Eretor Lombar","gifs/eretor-lombar/extensao-lombar-sentada.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Extens%C3%A3o%20lombar%20sentada.gif","catalog-api","3493897","72d5028c8f84bc80c9cdcab09dcb019768d8b02034525a75cb199b0d28e6598f"
"GDT-0456","Face Pull","face-pull","Trapézio","gifs/trapezio/face-pull.gif","https://www.gifdotreino.com/Exercicios/Trap%C3%A9zio/Face%20Pull.gif","catalog-api","3573900","1414d0df58cd6575443ea4aa66cf6df899fdb1003b116f50f754c898d26cf9f2"
"GDT-0450","Flexão","flexao","Calistenia","gifs/calistenia/flexao.gif","https://www.gifdotreino.com/Exercicios/Calistenia/Flex%C3%A3o.gif","catalog-api","2109048","41b1a70e70486f144cd8af15c18d0eb2c6351ac2ba32f8135d50a312cd3f4a53"
"GDT-0460","Flexão alternada de ombro","flexao-alternada-de-ombro","Mobilidade","gifs/mobilidade/flexao-alternada-de-ombro.gif","https://www.gifdotreino.com/Exercicios/Mobilidade/Flex%C3%A3o%20alternada%20de%20ombro.gif","catalog-api","1909074","4371d6233723c523da3c0508d20fe7e2b12eb09d560d50292f21fb9a33f25934"
